"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2001",1608.617,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2002",1771.587,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2003",1896.503,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2004",1980.858,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2005",2324.028,"B"
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2006",3081.956,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2007",3333.081,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2008",3561.617,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2009",3715.976,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",3825.167,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",3983.097,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",4174.633,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",4299.677,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",4257.517,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",4171.893,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4239.49,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4377.677,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1980",425.061,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1981",509.123,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1982",524.864,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1983",554.051,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1984",564.577,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1985",532.699,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1986",571.335,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1987",647.826,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1988",717.068,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1989",768.656,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1990",802.414,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1991",850.437,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1992",851.93,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1993",846.841,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1994",918.398,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1995",960.046,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1996",975.751,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1997",1049.729,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1998",1118.81,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","1999",1179.521,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2000",1253.54,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2001",1304.198,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2002",1434.331,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2003",1449.578,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2004",1578.311,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2005",1692.661,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2006",1919.355,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2007",2014.874,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2008",2200.416,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2009",2395.049,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",2433.46,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",2517.882,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",2563.021,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",2715.665,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",2793.877,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",2783.549,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2862.569,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2894.164,"P"
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1980",524.316,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1981",584.19,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1982",633.868,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1983",702.569,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1984",728.272,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1985",783.188,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1986",893.658,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1987",977.372,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1988",986.032,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1989",985.926,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1990",1080.32,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1991",1207.003,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1992",1305.885,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1993",1341.553,"B"
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1994",1415.159,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1995",1483.209,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1996",1611.992,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1997",1785.234,"B"
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1998",1930.548,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","1999",2102.926,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2000",2326.758,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2001",2511.536,"B"
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2002",2833.394,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2003",2954.184,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2004",3114.243,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2005",3306.073,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2006",3568.419,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2007",3764.672,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2008",4133.638,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2009",4242.11,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",4371.776,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",4605.892,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",4862.207,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",5083.8,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",5251.776,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",5335.628,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",5257.005,"P"
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",5398.962,"P"
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","1990",243.491,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","1991",247.252,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","1992",263.664,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","1993",257.368,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","1994",255.329,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","1995",277.352,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","1996",319.473,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","1997",314.718,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","1998",327.741,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","1999",383.755,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2000",388.703,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2001",448.124,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2002",504.496,"B"
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2003",505.361,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2004",530.546,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2005",554.187,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2006",608.243,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2007",690.777,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2008",836.355,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2009",908.196,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",969.412,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",1009.561,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",1035.142,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",1113.543,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",1130.359,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",1180.713,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1246.285,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1352.232,"P"
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1980",173.512,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1981",198.125,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1982",188.929,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1983",172.292,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1984",176.861,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1985",219.123,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1986",247.126,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1987",257.622,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1988",313.305,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1989",316.205,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1990",421.368,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1991",476.978,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1992",477.384,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1993",528.368,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1994",541.22,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1995",636.604,"B"
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1996",711.593,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1997",753.581,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1998",812.781,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","1999",898.072,
