entity,year,percent_gdp,gdp,education_spend
Finland,1985,5.04195976257324,28791.96,1451.6790380561824
Finland,1986,5.09658002853394,29483.02,1502.6257091286673
Finland,1987,5.1981301307678205,30443.55,1582.4953454253668
Finland,1988,5.0649099349975595,31933.12,1617.3837674346928
Finland,1989,5.07036018371582,33450.88,1696.0801006225583
Finland,1990,5.33590984344482,33514.91,1788.3253817116724
Finland,1991,6.33289003372192,31360.66,1986.0361116494169
Finland,1992,6.51512002944946,30154.13,1964.5777633362286
Finland,1993,7.483670234680179,29791.95,2229.5312944808015
Finland,1994,6.85562992095947,30836.47,2114.0342638876905
Finland,1995,6.80942010879517,32016.65,2180.148203262569
Finland,1996,6.860529899597171,33086.61,2269.9167718131075
Finland,1999,5.869609832763669,38427.1,2255.520840045928
Finland,2000,5.71687984466553,40509.96,2315.9057383220684
Finland,2001,5.8479700088501,41461.47,2424.6543308283817
Finland,2002,6.024779796600339,42057.5,2533.8717629551875
Finland,2003,6.17476987838745,42794.13,2642.4390489579673
Finland,2004,6.168499946594241,44345.52,2735.4533775169384
Finland,2005,6.0360598564147905,45423.26,2741.7751623349172
Finland,2006,5.9380998611450195,47085.83,2796.00360584898
Finland,2007,5.686089992523191,49319.1,2804.328409502505
Finland,2008,5.8467698097229,49444.5,2890.9060985684396
Finland,2009,6.4851799011230495,45138.98,2927.3440585319536
Finland,2010,6.540709972381589,46277.34,3026.8665923329336
Finland,2011,6.48200988769531,47246.36,3062.513726776122
Finland,2012,7.19254016876221,46351.04,3333.8171706390394
Finland,2013,7.15848016738892,45788.21,3277.73993185239
Finland,2014,7.1515598297119105,45298.73,3239.5657780496585
France,1980,4.29399013519287,27005.87,1159.6293937230107
France,1981,4.7151198387146,27153.43,1280.3167648214817
France,1982,4.8358302116394,27683.93,1338.7478507091032
France,1983,4.8352198600769,27913.66,1349.6868319943417
France,1984,4.8495798110961905,28177.83,1366.5063548850057
France,1985,4.833580017089839,28509.65,1378.0367453422534
France,1986,4.68919992446899,29057.42,1362.5605166926368
France,1987,4.60276985168457,29666.96,1365.5018907913209
France,1988,4.52404022216797,30925.65,1399.0888449668887
France,1989,4.435150146484379,31954.24,1417.2185221679704
France,1990,4.4922800064086905,32687.71,1468.4234608828542
France,1991,4.81744003295898,32830.48,1581.5886865325915
France,1992,4.710989952087401,33158.04,1562.071932709121
France,1993,5.39987993240356,32780.13,1770.087661685799
France,1994,5.59569978713989,33391.36,1868.4802604431143
France,1995,5.7590799331665,33930.96,1954.111108490752
France,1996,5.72616004943848,34246.27,1960.9962311628353
France,1998,5.65912008285522,35964.63,2035.2815990545732
France,1999,5.6452898979187,37012.05,2089.437519662619
France,2000,5.516729831695559,38245.41,2109.8959427242767
France,2001,5.41703987121582,38771.01,2100.241070173073
France,2002,5.40916013717651,38978.33,2108.400288497113
France,2003,5.7229499816894505,39078.13,2236.4218336795793
France,2004,5.637020111083981,39932.12,2250.9816351821887
France,2005,5.49981021881104,40328.77,2218.005813580801
France,2006,5.4421100616455105,41028.17,2232.7981676790246
France,2007,5.445189952850339,41736.6,2272.6371498613344
France,2008,5.44402980804443,41578.88,2263.566621051024
France,2009,5.73849010467529,40131.14,2302.9214977933875
France,2010,5.6834201812744105,40692.57,2312.729735659216
France,2011,5.51584005355835,41312.66,2278.740247470379
France,2012,5.46131992340088,41177.13,2248.8148045746802
France,2013,5.50531005859375,41212.89,2268.897378607178
France,2014,5.51760005950928,41410.4,2284.860255043031
Germany,1993,4.41381978988647,33592.98,1482.733599252604
Germany,1994,4.33487987518311,34299.31,1486.833886516668
Germany,1995,4.42079019546509,34792.94,1538.1228802340515
Germany,1996,4.48319005966187,34976.01,1568.0410035863417
Germany,1998,4.45345020294189,36269.08,1615.2254168651564
Germany,2006,4.27930021286011,40471.64,1731.9029766679773
Germany,2007,4.34302997589111,41846.88,1817.4225423751816
Germany,2008,4.4095401763916,42388.19,1869.1242680952066
Germany,2009,4.88047981262207,40117.75,1957.9386900281906
Germany,2010,4.91368007659912,41853.36,2056.5402117073054
Germany,2011,4.80779981613159,43477.11,2090.292414639329
Germany,2012,4.93331003189087,43780.21,2159.8134919128897
Germany,2013,4.93496990203857,44080.53,2175.3608881590826
Germany,2014,4.93112993240356,45014.68,2219.7323594556788
Ireland,1980,5.31584978103638,17167.09,912.5767161753183
Ireland,1981,5.72516012191772,17519.52,1003.0205725913994
